station_id,scenario_id,scenario_name,duration_hours,delta_fuel_liters,total_unserved_kwh,critical_unserved_kwh,critical_survival,min_battery_soc_pct,min_reserve_margin_pct,min_continuity_horizon_h,min_indoor_temp_c,final_threat_state,primary_failure_signature
HIMADRI,HIGH_WIND,High Wind & Katabatic Gusts,48,-58.06,0.0,0.0,PASSED,20.0,19.6,999.0,20.0,THREATENED,NOMINAL
HIMADRI,BLIZZARD,Polar Blizzard Storm,48,-62.1,0.0,0.0,PASSED,20.0,9.4,999.0,20.0,THREATENED,NOMINAL
HIMADRI,EXTREME_COLD,Extreme Cold Wave,48,-0.39,0.0,0.0,PASSED,20.0,12.2,999.0,20.0,THREATENED,NOMINAL
HIMADRI,LOW_DAYLIGHT,Low Daylight Exposure,48,0.0,0.0,0.0,PASSED,20.0,12.2,999.0,20.0,THREATENED,NOMINAL
HIMADRI,POLAR_NIGHT,Astronomical Polar Night,48,0.0,0.0,0.0,PASSED,20.0,12.2,999.0,20.0,THREATENED,NOMINAL
HIMADRI,SOLAR_GENERATION_FAILURE,Solar PV System Trip,48,0.0,0.0,0.0,PASSED,20.0,12.2,999.0,20.0,THREATENED,NOMINAL
HIMADRI,WIND_GENERATION_FAILURE,Wind Turbine Mechanical Trip,48,62.15,0.0,0.0,PASSED,20.0,5.8,999.0,20.0,THREATENED,NOMINAL
HIMADRI,BATTERY_DEGRADATION,Battery Capacity Degradation,48,0.61,0.0,0.0,PASSED,20.0,12.2,999.0,20.0,THREATENED,NOMINAL
HIMADRI,FUEL_RESUPPLY_DELAY,Fuel Resupply Delay (7 Days),48,0.0,0.0,0.0,PASSED,20.0,12.2,999.0,20.0,THREATENED,NOMINAL
HIMADRI,COMBINED_POLAR_STRESS,Combined Polar Stress Disaster,48,61.88,0.0,0.0,PASSED,20.0,5.8,999.0,20.0,THREATENED,NOMINAL
HIMADRI,CUSTOM,Custom User Scenario,48,0.0,0.0,0.0,PASSED,20.0,12.2,999.0,20.0,THREATENED,NOMINAL
